Row,i01.a,i01.b,i01.c,i01.d,i01.e,i01.f,i01.g,i01.h,i01.i,i01.j,i01.k,i01.l,i01.m,i01.n,i01.o,i01.w.1,i01.w.2,i02,i05,i10,i11.a,i11.b,i11.c,i12,i13.1,i13.20.11,i13.20.12,i13.20.13,i13.20.14,i13.20.15,i13.20.16,i14.1,i14.2,i14.3,i15.a,i15.b,i15.c,i15.d,i15.e,i15.f,i15.g,i15.h,i15.i,i15.j,i15.k,i16,i17,i18,i19,i20,i20.w,i21.1,i21.w.1,i21.2,i22,i23.1,i23.2,i23.3,i24.a,i24.a.w,i24.b,i24.c,i24.d,i25,i26.a,i26.a.w,i26.b,i26.c,i26.d,i26.d.w,i26.e,i27.a,i27.a.w,i27.41,i27.41.w,i27.42,i27.42.w,i27.43,i27.43.w,i27.44,i27.44.w,i27.45,i27.45.w,i27.5,i28,i29,i30,i31,i32,i33,i34,i35,i36,i37,i37.w.1,i40.11.a,i40.11.b,i40.11.c,i40.11.d,i40.11.e,i40.11.f,i40.11.g,i40.11.h,i40.11.i,i40.11.j,i40.11.k,i40.11.l,i40.12,i40.13,i40.2,i40.3,i41,i45,i45.w,i50.a,i50.b,i51,i52,i55,i60.1,i60.2,i60.3,i61.1,i61.2,i62,i63,i64,i65,i66,i67,i70,i71,i72,i73,i74,i75,i80,i85,i90.1.a,i90.1.b,i90.1.c,i90.1.d,i90.1.e,i90.1.f,i90.1.g,i90.2.a,i90.2.b,i90.2.c,i90.3.a,i90.3.b,i90.4.a,i90.4.b,i90.5.a,i90.5.b,i90.5.c,i90.5.d,i90.5.e,i90.5.f,i91,i92,i93,i95,i99,m01
p15.j,65.93,58.61,98.49,91.38,62.20,1.49,21.00,48.29,50.18,83.10,78.06,85.79,75.52,48.22,33.95,37.92,3.50,79.64,43.56,20.68,92.01,44.42,36.90,73.01,23.91,22.76,34.30,87.16,52.31,55.99,28.58,4.96,61.24,51.76,22.59,56.59,74.11,95.78,34.85,9.21,33.27,97.54,2.89,46.88,66.18,74.93,60.35,34.76,65.56,46.94,15.61,61.57,54.08,26.14,10.33,8.48,98.48,37.83,60.42,10.91,32.14,73.64,34.32,66.71,2.09,73.18,28.74,72.14,72.40,33.61,22.84,93.42,66.01,6.67,83.01,98.44,70.43,48.05,70.87,62.15,87.95,30.56,40.39,52.14,99.62,16.87,95.18,39.20,58.28,95.85,73.72,68.72,85.51,9.25,50.67,31.69,36.78,60.46,2.89,63.45,2.87,58.48,15.50,51.00,41.81,21.33,47.42,39.62,16.39,38.55,10.85,90.36,29.49,2.66,49.76,86.26,47.03,97.67,47.95,61.04,43.79,90.68,74.82,28.56,76.01,15.61,68.78,75.89,39.07,0.71,97.93,97.10,43.06,71.50,28.86,17.63,18.07,98.85,12.43,96.55,76.89,3.25,17.26,47.62,47.63,57.83,16.96,85.86,53.42,46.43,69.29,88.53,58.95,75.51,60.43,64.27,34.80,0.33,6.36,0.36,95.44,25.31,21.82,60.63
p15.k,27.60,14.56,27.37,74.31,75.27,8.71,47.62,33.23,99.83,76.08,93.84,97.94,49.35,57.95,18.09,90.94,36.70,86.22,29.18,96.41,14.83,44.40,33.44,33.69,16.52,86.75,83.71,62.29,11.96,60.67,77.04,20.23,83.25,20.78,15.87,24.31,43.52,61.03,70.05,8.15,35.11,25.08,13.18,38.26,55.27,11.49,0.86,46.95,17.54,31.22,22.77,72.27,37.75,38.29,62.38,29.91,61.85,0.71,90.73,49.23,95.05,77.60,80.35,44.65,55.70,9.92,39.35,92.79,84.03,71.97,63.21,56.37,32.49,37.29,46.68,41.00,90.82,40.99,70.78,24.18,61.49,84.21,60.07,98.40,73.76,98.97,23.01,26.53,53.96,20.49,69.78,44.92,10.13,51.09,7.73,68.92,80.28,81.88,26.17,27.80,68.06,21.05,41.53,59.52,90.12,74.55,39.68,11.05,13.56,73.09,75.88,56.52,6.24,45.84,14.74,69.31,71.64,31.03,31.01,42.61,9.60,13.19,26.58,80.76,49.46,89.88,45.42,41.04,69.73,28.38,35.26,21.80,2.56,37.88,98.17,0.71,86.19,15.73,51.09,44.71,91.79,72.58,31.85,49.89,38.58,90.76,25.71,3.36,53.29,60.85,86.01,10.70,16.40,63.44,47.68,67.01,23.53,3.22,47.33,98.96,4.04,73.54,94.56,29.97
p16,58.18,11.15,73.50,27.28,48.51,81.73,50.95,80.40,88.52,98.13,27.65,34.19,26.49,95.63,64.85,80.58,29.08,93.71,57.15,59.14,66.79,25.70,42.54,96.85,26.81,85.10,90.97,50.93,54.36,55.17,10.25,99.63,15.63,2.76,72.54,57.80,64.57,53.44,14.71,77.82,87.05,7.49,50.88,28.47,46.04,86.41,19.75,4.63,70.02,5.41,6.36,94.58,43.83,86.99,59.32,90.04,41.81,12.47,14.89,90.97,99.28,77.05,11.88,1.44,97.64,48.74,34.91,82.54,74.04,12.57,11.19,18.74,26.53,82.99,65.05,15.11,84.75,63.41,13.02,81.71,82.74,50.89,76.27,11.39,42.59,26.94,77.71,44.25,85.21,17.21,17.33,35.11,56.98,3.13,27.46,44.50,97.52,63.34,57.42,43.97,31.85,94.31,58.23,20.38,26.98,2.78,92.02,84.57,99.63,40.62,92.43,12.20,92.08,81.76,64.52,98.28,89.30,70.21,35.48,38.24,43.19,79.52,64.45,2.46,53.42,11.50,54.24,24.80,62.70,79.05,89.94,16.95,88.53,69.34,1.31,80.63,28.03,67.23,42.58,7.83,40.95,45.47,73.08,20.73,29.58,30.91,30.49,45.89,8.89,40.58,27.53,75.86,40.22,79.73,58.95,70.74,6.17,75.49,24.52,9.41,3.94,83.28,65.02,99.83
p17,31.20,48.96,38.58,29.74,14.09,77.81,54.23,38.01,77.27,60.77,15.08,93.53,65.17,19.55,24.31,31.10,11.97,17.14,24.63,8.51,73.97,29.45,43.94,1.86,48.83,87.01,39.19,10.89,85.96,43.65,62.62,36.44,76.74,8.48,65.81,45.92,14.56,57.38,18.40,37.97,8.18,94.18,3.39,60.14,44.30,37.87,89.54,79.06,75.74,72.38,68.38,26.41,99.30,99.38,46.80,44.20,17.77,81.02,98.45,97.64,39.13,54.02,71.41,83.56,73.39,46.95,99.18,18.74,25.00,92.33,26.98,96.65,45.44,89.26,13.14,63.98,42.04,6.59,17.64,60.71,52.03,88.93,40.99,77.56,69.79,55.80,22.60,85.05,44.24,56.26,64.65,44.57,29.88,58.13,7.22,81.70,2.98,33.98,78.68,4.09,30.01,57.24,70.09,68.30,36.58,4.09,65.69,38.94,74.22,41.67,75.11,83.53,77.87,70.10,17.38,99.77,16.07,96.44,51.53,33.89,32.50,97.40,68.63,48.61,99.95,19.09,94.13,62.03,58.53,37.72,23.31,39.69,18.65,8.91,35.01,20.41,75.09,94.28,83.46,2.38,35.23,44.98,22.72,10.97,56.41,53.43,50.68,20.18,71.52,51.93,59.31,92.22,62.73,59.17,60.29,51.21,51.91,32.92,15.64,46.99,53.23,39.30,0.32,10.05
p18,8.33,67.21,4.54,46.56,85.41,78.80,6.32,17.91,23.43,50.14,88.18,65.28,91.59,93.55,92.40,27.06,27.20,12.01,27.95,62.95,51.23,52.56,16.93,32.27,60.90,14.60,47.65,40.62,75.68,77.69,62.80,67.59,93.25,66.49,92.43,89.75,23.40,25.58,60.15,88.55,59.38,28.58,16.36,72.40,17.85,91.89,99.77,91.11,15.73,49.24,2.81,21.87,31.19,4.44,39.26,75.38,87.52,90.20,98.44,65.61,80.95,31.51,87.11,43.96,81.09,48.84,63.12,74.85,41.85,23.80,34.52,69.30,99.86,82.90,77.51,58.38,63.72,36.79,28.39,86.23,5.05,79.89,27.30,13.44,9.58,62.53,19.65,88.12,8.10,47.49,45.76,22.04,65.05,39.11,82.46,89.30,48.83,14.30,31.75,25.62,17.21,14.20,5.11,73.52,37.05,83.60,88.74,74.74,31.81,81.00,88.23,5.74,21.52,1.62,78.64,10.19,44.27,64.51,85.83,3.18,10.21,1.85,34.60,76.95,60.59,95.44,1.69,8.32,76.88,25.95,45.14,25.71,21.92,81.06,76.07,9.95,1.05,20.72,35.13,58.54,27.70,24.53,98.31,44.44,73.36,6.47,63.95,95.94,75.22,64.52,91.34,13.69,31.95,52.09,56.50,16.22,25.39,61.28,57.68,21.23,1.64,9.27,2.91,65.78
p19,41.30,95.78,79.47,42.46,7.66,23.84,91.33,63.56,98.22,26.07,94.56,0.29,49.54,13.93,11.81,72.46,64.40,44.18,31.50,31.35,76.08,62.91,51.44,25.56,6.26,63.65,99.20,64.70,75.55,80.13,28.71,58.09,25.63,44.36,17.59,32.81,62.25,86.19,75.31,23.12,51.26,14.75,55.61,19.02,45.62,0.09,90.51,14.22,24.07,60.24,61.14,72.77,78.15,14.12,8.30,51.02,45.06,64.07,56.18,62.36,3.07,86.55,5.92,90.45,93.24,57.09,89.93,74.99,33.24,75.50,75.73,78.05,31.81,42.81,3.87,52.29,41.36,80.87,65.42,2.31,57.52,21.47,54.39,48.26,13.00,21.86,49.07,70.45,87.58,52.00,21.88,14.76,36.38,59.23,73.86,9.93,93.47,3.18,33.94,15.04,93.19,42.16,94.55,40.36,59.85,95.64,82.06,21.84,7.76,74.98,84.45,12.19,16.96,13.51,87.69,13.56,29.40,98.68,80.82,30.65,94.04,9.12,63.84,31.04,2.57,74.95,23.27,65.27,36.02,33.98,53.70,8.27,60.23,2.36,26.26,94.79,74.43,99.23,0.61,42.53,74.66,5.61,3.50,33.99,74.05,84.80,39.92,34.94,3.46,83.31,45.80,79.97,88.39,78.54,25.13,28.43,36.50,67.41,3.62,75.45,98.50,58.09,14.11,53.49
p20,97.01,37.37,11.89,75.22,85.28,51.94,67.76,14.65,74.64,20.26,14.28,49.94,14.96,56.69,20.21,12.53,87.43,3.11,85.04,24.71,71.01,52.22,23.50,10.71,4.14,23.42,51.91,31.98,45.52,14.42,98.51,60.26,2.48,45.91,7.38,54.25,67.08,70.77,29.79,80.37,32.21,100.00,28.41,59.33,98.56,84.77,20.06,33.28,10.94,9.59,61.32,82.06,32.06,35.54,73.65,69.31,92.55,20.59,7.43,76.74,79.89,44.19,47.61,99.36,85.71,99.93,95.29,12.13,86.85,76.34,98.43,19.49,8.89,93.41,34.18,68.23,13.49,69.23,60.57,89.43,21.76,38.62,28.88,65.83,46.53,82.35,41.98,51.73,19.36,64.51,3.59,18.05,53.39,51.28,96.02,25.57,87.93,16.10,2.72,83.67,52.27,56.84,70.47,29.22,84.80,93.31,82.44,99.51,57.27,33.77,75.00,23.78,32.66,28.59,18.60,65.10,61.01,83.43,20.09,96.32,6.23,82.61,19.17,35.55,3.85,33.31,57.51,1.11,56.54,43.67,37.85,44.23,15.41,18.79,68.61,35.92,43.28,81.22,28.46,99.55,82.64,89.00,31.86,46.67,56.95,76.35,89.92,33.10,22.30,74.81,87.25,25.88,92.22,28.08,39.98,65.91,89.89,38.13,39.98,73.26,41.40,94.66,4.97,49.94
p20.w,29.41,73.94,67.44,23.76,85.61,20.09,17.39,35.52,78.28,20.70,42.71,46.26,27.70,94.55,64.20,29.13,86.76,54.07,11.39,87.03,66.05,86.25,24.71,58.21,0.02,70.29,36.16,45.43,5.01,65.60,54.93,77.12,53.96,44.76,79.39,44.80,4.93,63.47,44.87,45.83,77.15,74.33,77.35,54.34,57.17,24.70,40.48,59.29,5.57,99.59,52.42,99.77,77.53,47.72,17.27,10.88,22.16,60.45,31.57,24.27,42.84,51.26,0.26,64.33,31.52,1.84,8.02,57.05,64.92,25.54,76.41,44.30,4.25,78.87,30.56,43.38,38.61,7.48,71.56,97.73,32.05,83.23,48.44,25.36,27.89,35.35,73.81,39.98,35.50,99.67,2.10,32.31,91.48,61.70,73.16,46.24,76.89,32.31,87.78,64.01,53.58,97.68,58.72,88.85,62.82,1.10,44.66,64.71,21.03,34.35,48.75,27.35,63.74,39.04,47.71,73.13,82.22,66.39,15.89,72.95,78.07,42.52,76.42,93.71,81.05,94.82,84.91,48.66,6.52,74.10,56.99,6.78,27.73,34.51,76.66,92.48,89.45,29.66,14.86,96.23,4.29,29.04,17.57,54.62,74.43,35.01,52.44,93.78,32.89,5.49,93.67,85.01,69.33,28.13,41.91,38.92,22.16,78.23,74.10,36.44,99.22,65.03,27.72,81.87
p21.1,21.89,45.32,6.82,77.98,0.57,0.64,6.94,96.34,65.47,26.40,78.76,14.26,52.70,25.87,17.31,57.96,58.60,9.88,53.83,22.22,2.20,55.59,69.35,52.59,4.00,51.67,77.90,28.83,38.24,27.58,89.72,99.13,53.20,18.53,46.14,58.96,55.87,3.62,79.69,2.58,59.60,72.73,79.40,71.34,7.92,94.07,76.73,67.53,39.61,39.61,69.08,9.34,67.76,70.04,73.63,87.62,47.77,47.91,37.48,45.65,78.11,67.97,80.98,76.31,21.82,54.95,2.08,94.17,64.76,28.32,8.53,98.49,91.35,1.47,85.56,63.93,65.13,89.86,25.25,77.22,53.57,7.60,90.14,45.74,75.82,43.86,69.72,17.70,1.65,21.08,31.36,91.66,62.98,20.32,91.56,88.43,64.32,44.61,45.13,57.70,63.39,23.29,55.01,22.38,61.54,84.46,65.92,33.17,55.36,66.10,41.60,6.84,90.57,68.40,55.96,28.83,40.11,21.48,56.78,2.27,52.36,17.98,21.64,26.42,66.21,85.57,91.13,33.03,78.80,81.81,57.37,80.80,96.02,34.72,15.35,36.73,29.70,53.27,17.33,24.53,15.10,57.34,89.95,94.53,19.57,34.25,48.06,39.33,19.00,12.54,65.89,44.57,68.57,89.10,31.42,46.81,1.40,39.23,47.42,38.21,31.52,1.87,50.38,67.69
p21.w.1,7.37,47.80,15.87,82.24,91.99,27.29,17.83,82.55,33.66,79.30,62.71,62.71,87.61,81.43,97.53,96.57,16.80,5.71,26.99,59.24,47.83,87.46,82.29,13.96,66.73,62.70,69.25,38.75,8.32,23.95,16.86,14.69,78.37,2.05,0.30,33.13,56.01,78.95,42.00,6.44,9.16,31.04,43.29,44.94,58.82,28.15,70.01,42.80,6.75,55.90,68.54,63.99,26.44,3.98,44.37,14.96,26.88,31.16,77.89,38.45,9.23,42.78,94.51,29.64,39.51,47.16,4.83,38.37,41.10,67.20,91.63,77.71,58.19,71.06,0.97,54.85,13.12,61.75,13.21,91.40,17.40,2.47,63.22,25.36,73.01,65.53,25.97,31.36,62.39,54.77,9.10,70.55,93.81,60.77,8.74,77.40,22.95,64.67,39.94,40.72,40.38,83.61,46.03,59.58,23.37,93.49,69.02,13.65,34.83,2.36,77.98,36.69,49.79,34.83,7.41,26.00,98.81,52.95,90.07,7.75,14.93,6.00,2.84,31.25,63.65,95.07,85.74,9.42,47.74,43.40,69.84,42.80,94.84,57.76,2.83,79.12,40.69,5.19,25.67,80.99,31.69,57.16,13.92,28.99,76.80,72.20,38.90,62.66,43.68,74.39,71.07,50.77,18.94,2.20,83.58,50.89,8.58,98.30,51.25,43.05,2.63,25.29,22.05,37.31
p21.2,18.50,20.07,96.11,84.70,10.24,83.33,31.28,67.66,58.68,87.66,84.56,74.01,39.69,32.38,13.82,62.06,72.31,45.67,20.99,0.64,83.70,9.34,27.78,79.84,31.32,24.97,90.62,12.37,34.01,35.72,23.19,5.60,5.16,19.09,55.36,33.21,66.70,79.94,29.97,56.03,29.21,16.33,62.34,92.48,92.87,21.18,9.67,76.55,69.90,25.50,82.77,7.98,55.20,2.96,28.71,8.00,62.19,2.22,22.56,61.92,70.75,67.70,74.80,58.15,93.75,78.12,69.57,28.07,33.30,4.20,16.87,62.30,11.47,27.45,34.26,82.37,66.62,46.46,33.98,76.27,20.35,97.79,44.12,49.20,78.23,89.85,36.37,63.44,45.61,19.02,31.63,86.25,18.41,50.97,88.03,97.61,40.91,51.57,91.10,64.22,89.57,37.35,82.50,32.62,36.21,7.88,59.64,32.56,82.08,0.66,33.27,1.31,50.10,65.85,44.15,58.12,86.23,49.36,62.66,36.30,47.80,22.43,21.10,52.76,45.35,67.71,17.60,86.27,44.60,80.96,26.48,25.70,14.87,7.33,2.34,82.39,39.71,42.19,63.96,90.83,16.96,45.93,63.60,22.49,63.92,10.81,82.12,88.40,3.79,27.50,43.38,37.70,86.63,33.80,53.53,99.80,6.46,45.67,2.63,64.84,61.83,61.78,27.14,60.10
p22,80.75,61.50,38.14,54.14,41.54,57.92,65.61,84.96,73.83,80.52,28.89,94.50,97.03,4.09,11.60,94.19,37.05,79.02,13.16,15.33,22.06,87.29,99.79,43.06,81.23,67.12,71.86,38.37,9.58,2.11,25.48,99.85,23.80,4.37,36.02,79.06,3.98,58.63,5.36,5.15,6.45,85.10,97.69,98.17,40.64,14.87,6.04,67.87,26.94,19.65,64.65,91.03,64.60,98.18,68.28,14.79,82.64,85.75,34.34,39.48,72.91,28.76,19.77,57.53,81.95,30.74,75.58,92.36,54.42,39.82,91.86,50.62,26.65,94.99,7.16,29.56,9.63,45.24,21.74,85.92,49.36,62.53,26.97,16.70,38.76,82.12,90.49,3.87,79.97,17.62,81.14,81.46,79.12,65.91,53.43,28.08,97.76,97.12,59.73,87.36,23.79,7.77,42.91,52.99,45.15,10.78,35.16,54.27,83.05,47.17,4.69,95.80,96.19,70.97,15.91,11.11,52.68,11.63,27.40,33.09,78.59,59.22,44.22,31.15,85.84,73.42,36.65,39.85,12.31,49.11,73.87,25.44,82.97,51.53,96.58,77.69,89.58,57.58,96.78,71.37,70.64,13.75,10.87,0.97,2.83,33.00,44.86,1.89,77.49,67.82,30.62,39.98,11.91,23.79,81.69,78.87,20.77,62.80,10.41,70.40,49.94,91.72,57.13,51.00
p23.1.a,80.54,81.99,62.36,15.11,19.03,88.50,7.65,85.62,36.82,58.56,90.24,46.48,82.35,57.11,23.57,57.80,52.46,25.78,36.71,44.47,39.36,59.61,31.65,22.13,68.75,9.48,28.61,27.52,13.77,22.71,45.83,66.90,16.91,99.75,2.47,58.00,84.06,60.13,54.32,93.46,8.67,55.82,77.37,32.88,71.49,84.08,90.04,77.68,28.98,91.08,21.96,64.20,15.85,86.44,67.35,55.49,16.88,88.80,9.48,58.79,11.48,82.61,3.17,80.85,25.49,6.81,27.81,25.04,60.12,21.09,96.94,53.04,99.98,20.13,12.64,17.91,53.59,57.07,9.78,83.10,34.23,33.68,60.59,53.31,7.75,45.73,97.39,27.78,29.37,89.21,32.54,78.07,52.53,4.56,37.93,75.52,58.51,95.65,91.44,94.70,19.23,53.66,59.97,38.63,32.09,0.56,94.28,10.12,78.63,38.01,69.05,51.84,17.83,51.42,66.21,61.34,4.28,84.46,20.23,95.25,64.22,40.39,71.74,48.06,34.78,18.43,75.78,90.86,38.06,45.64,58.12,37.88,48.85,69.76,65.09,32.08,15.90,71.63,54.14,48.56,20.80,17.55,71.88,52.25,57.43,33.89,18.11,73.15,97.98,22.35,94.64,48.88,9.14,42.63,18.22,58.63,17.62,81.21,85.72,99.28,27.64,81.32,16.13,44.77
p23.1.b,91.07,62.86,38.36,62.23,58.32,68.52,9.90,20.37,55.79,2.55,30.75,8.58,62.01,10.00,62.57,92.56,38.99,53.95,7.67,62.32,90.80,67.33,67.87,41.98,18.09,74.55,62.32,80.40,46.98,84.92,53.89,23.84,65.24,38.55,55.60,45.33,34.34,30.84,10.02,85.37,77.30,93.82,11.87,80.89,9.95,58.13,83.41,84.29,3.38,62.48,42.38,47.73,30.21,21.65,21.54,70.81,21.14,93.74,6.40,19.82,56.21,90.23,60.77,55.97,67.48,51.90,59.42,93.20,67.85,9.84,43.58,77.63,63.48,11.61,58.80,80.59,55.22,72.41,30.98,63.26,15.50,0.15,95.00,57.20,3.30,70.67,82.06,1.71,72.76,88.93,11.71,89.48,65.24,92.75,92.39,69.18,92.33,75.76,19.23,62.32,82.53,7.61,60.03,16.82,69.45,28.07,70.36,90.94,84.23,74.02,90.85,77.45,80.30,18.96,39.09,44.21,92.56,61.78,12.80,66.11,24.42,2.09,10.26,20.95,67.07,49.32,10.02,50.59,45.47,85.38,11.41,69.37,39.92,22.82,6.72,99.87,96.95,14.57,84.96,67.15,39.60,88.10,86.48,61.96,35.75,77.97,29.07,85.93,79.90,82.77,41.59,34.46,51.06,7.58,14.67,91.36,13.52,34.36,9.51,41.29,73.99,94.10,4.29,35.66
p23.1.c,92.91,12.47,48.76,56.36,60.66,51.25,43.76,47.42,47.44,16.45,82.18,61.60,41.55,29.13,22.61,13.77,47.22,65.57,59.22,6.35,49.63,2.59,64.14,10.93,83.75,54.86,22.62,51.48,56.26,41.13,37.38,67.33,10.32,39.85,73.54,32.39,22.47,5.91,28.23,87.73,17.91,59.05,31.15,57.74,32.42,80.29,0.80,28.03,88.07,24.23,77.55,9.96,32.45,22.49,91.33,98.20,66.11,40.15,50.55,91.44,37.17,83.54,70.09,36.53,92.77,70.39,42.71,45.17,21.33,34.36,91.80,91.31,79.55,96.70,4.33,20.49,74.79,12.66,67.10,47.74,17.69,49.37,45.61,72.77,49.07,40.94,60.35,68.34,23.10,57.61,23.01,64.37,63.34,62.32,33.63,4.26,73.63,90.49,86.36,13.57,48.39,14.98,18.20,71.80,91.82,61.13,26.24,96.06,81.35,44.98,48.03,16.93,4.37,11.34,28.83,52.53,46.39,65.30,1.16,14.09,56.16,48.95,74.03,77.03,37.35,88.67,14.15,2.69,74.21,80.18,50.18,55.98,36.48,26.37,65.17,4.03,15.53,60.06,54.66,78.01,16.23,10.02,74.13,94.96,71.43,79.82,79.13,93.32,79.82,24.33,73.03,53.90,21.27,92.29,29.18,5.17,21.68,95.27,74.87,27.46,57.16,54.29,87.56,17.88
p23.20.a,34.04,24.29,85.69,42.96,59.31,47.47,35.38,26.59,72.38,7.85,38.68,24.53,50.54,69.04,35.48,44.74,2.48,4.48,44.57,31.50,5.24,36.40,98.87,39.85,53.47,90.87,71.55,58.27,31.80,22.19,7.25,20.37,58.80,16.04,37.41,41.47,19.95,49.62,5.72,41.60,94.93,15.56,91.67,38.33,22.56,80.13,65.04,74.38,60.35,32.85,32.27,38.86,90.56,14.32,11.75,74.69,24.73,14.29,94.96,29.51,12.73,46.36,70.14,6.89,68.92,18.26,83.58,43.76,22.46,90.53,40.30,50.25,15.20,18.76,94.54,48.55,46.48,0.18,80.71,73.59,43.64,55.00,42.29,18.46,36.76,7.37,50.33,22.21,45.79,87.96,6.12,65.64,69.46,0.89,54.09,74.56,88.97,65.17,67.03,0.03,91.36,31.31,63.80,2.66,78.27,28.49,40.95,30.83,33.83,80.66,69.04,93.21,76.90,6.66,67.46,75.65,45.25,51.19,66.09,47.95,80.93,14.40,14.05,43.00,18.45,21.59,78.85,38.18,63.04,2.18,44.15,38.96,65.49,61.62,39.80,8.98,39.86,91.17,43.21,81.27,69.76,90.63,47.47,9.50,80.56,89.11,75.60,55.90,78.29,30.98,64.82,94.87,47.78,94.51,13.47,69.46,57.28,79.14,0.42,0.01,67.81,82.94,18.71,4.94
p23.20.b,41.81,86.66,45.82,27.15,57.78,71.09,68.55,17.45,93.52,20.41,59.22,30.20,30.02,76.01,79.56,80.99,45.10,0.84,84.80,3.12,15.27,37.68,72.23,98.06,39.16,34.18,76.66,56.47,76.62,55.35,82.65,65.78,35.65,39.24,24.17,56.70,10.19,0.23,35.40,18.93,21.65,47.72,71.82,73.51,29.08,26.30,59.73,81.73,49.96,67.69,68.45,42.67,46.00,5.88,86.05,98.75,34.80,29.49,94.60,30.31,57.76,93.61,17.72,59.09,56.02,60.04,9.39,9.80,98.33,70.29,66.62,44.41,60.01,64.22,44.29,78.27,62.34,81.25,68.05,61.96,58.67,65.53,31.23,44.14,46.92,61.44,34.70,49.77,0.62,45.34,27.31,64.26,45.09,2.66,72.69,32.30,70.47,74.40,72.66,16.57,50.31,3.60,8.22,51.47,59.40,74.51,95.30,16.48,83.32,62.22,69.67,32.44,68.98,46.73,64.18,76.71,55.48,15.17,73.67,7.93,11.29,73.02,5.16,63.52,22.81,87.31,42.81,25.40,74.67,35.57,28.77,90.56,56.49,90.97,98.64,73.80,92.21,93.86,10.57,89.40,72.23,3.38,20.51,1.93,36.50,65.90,93.14,31.92,76.80,95.60,93.21,62.85,67.27,43.26,67.79,32.76,8.58,55.39,48.78,93.28,67.81,31.78,65.76,16.26
p23.20.c,91.03,47.42,94.28,47.12,6.26,4.31,63.45,43.47,88.87,97.79,48.31,21.78,4.14,85.55,91.17,39.26,38.64,97.09,30.01,16.73,74.41,59.27,66.86,15.66,17.30,62.93,29.01,33.89,4.07,87.74,96.72,77.41,66.66,16.75,27.30,86.90,30.47,18.47,86.73,25.94,25.52,78.68,70.24,14.42,2.97,80.92,6.86,19.24,25.02,0.28,39.34,18.03,86.85,58.07,40.21,45.26,63.69,29.36,52.50,14.47,17.76,58.03,69.63,82.74,41.12,69.19,98.63,19.66,96.93,52.59,86.36,21.56,24.22,75.38,38.45,34.44,69.50,20.02,22.60,73.49,70.72,52.54,6.90,44.95,28.11,10.42,36.72,39.95,88.05,62.82,57.62,3.83,37.17,53.30,27.88,73.03,71.84,14.50,97.08,86.28,52.43,6.01,28.75,65.25,26.05,27.57,69.37,91.05,70.12,23.29,24.06,50.94,33.98,36.41,42.60,29.62,23.02,49.77,6.80,81.69,82.57,93.25,38.19,18.63,44.72,9.51,12.48,49.24,97.05,86.89,62.07,64.47,17.87,63.97,17.13,68.00,41.71,36.18,72.31,52.00,68.20,48.36,24.06,45.54,88.34,71.78,83.94,52.13,56.85,8.11,63.39,88.56,62.82,91.39,37.85,84.36,83.04,85.25,66.11,47.74,54.42,52.19,31.29,32.99
p23.20.d,39.11,27.49,20.91,90.51,88.97,32.11,46.70,77.80,99.84,99.43,2.57,38.45,49.28,73.25,63.28,98.06,58.31,70.92,72.18,63.82,99.03,40.70,35.68,81.93,82.18,69.66,17.34,73.79,85.40,25.90,69.52,88.29,93.55,27.79,78.38,52.52,17.94,1.93,26.55,50.93,86.19,89.93,45.83,84.28,70.82,1.92,98.98,22.67,71.94,59.38,78.33,46.04,17.97,25.56,21.68,50.55,16.94,13.69,53.02,32.26,28.94,7.59,19.58,49.18,74.81,19.28,47.83,89.73,63.16,60.82,58.22,6.00,7.95,43.71,97.58,66.03,49.25,78.54,43.56,4.64,45.28,39.17,59.98,98.52,33.51,0.34,35.93,27.19,76.87,38.45,25.38,44.19,79.77,75.26,65.09,49.27,23.62,19.33,61.09,44.61,71.43,71.30,10.53,0.17,17.43,97.56,58.33,40.37,46.09,69.07,93.71,94.61,48.26,60.16,2.69,88.05,73.66,60.22,75.70,43.51,87.72,8.36,30.38,56.69,65.44,0.60,59.44,74.29,14.26,64.56,56.19,89.88,53.11,44.15,67.52,5.70,8.66,46.51,37.60,84.26,6.77,11.64,48.39,55.49,38.66,0.31,86.93,30.08,52.58,64.93,42.40,45.55,77.56,77.67,12.38,73.40,68.51,37.48,69.32,86.86,17.25,34.06,32.21,53.34
