COUNTRY,FLOW,PRODUCT,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Austria,Production,Coal tar,86.40,84.54,30.60,64.93,82.51,45.58,87.27,43.37,62.32,20.71,76.28,61.39,97.13,33.29,35.55,37.79,94.42,50.44,24.27,36.46,47.68,53.49,41.18,6.58,48.70,49.44,63.41,62.23,91.72,83.98,90.48,0.40,57.79,31.10,11.53,24.17,66.01,64.24,39.98,18.87,64.94,78.91,25.88,18.87,80.22,77.24,83.10,72.93,60.83,57.55,50.00,42.68,12.12,22.34,45.77,11.07,0.20,74.40,72.83,84.25,77.39,4.20
Austria,Production,BKB,3.58,10.15,60.66,31.07,54.98,93.16,49.11,61.96,43.61,45.24,0.73,66.13,23.43,1.17,72.75,77.40,61.39,96.70,48.05,55.15,73.69,41.80,8.18,94.43,35.33,32.97,69.48,26.31,69.01,76.54,5.51,62.82,92.54,60.58,89.80,64.43,54.43,64.92,73.42,95.26,33.72,73.55,29.03,82.13,32.05,93.16,64.54,92.55,65.09,31.09,73.55,53.20,9.61,70.19,16.29,1.07,41.64,4.12,96.30,22.68,74.38,66.72
Austria,Production,Gas works gas,90.74,82.77,57.91,94.78,8.16,75.75,60.54,84.40,15.69,21.95,91.48,51.38,10.42,47.78,78.71,2.53,7.69,52.29,22.35,48.39,1.23,84.12,64.27,48.24,36.20,22.52,65.19,49.52,96.98,11.24,57.08,78.29,7.27,52.15,85.77,14.52,32.86,1.26,90.30,14.30,9.81,11.64,9.62,24.96,43.14,20.48,56.97,74.50,58.53,49.19,76.21,41.20,20.40,1.07,31.16,25.79,14.05,66.62,85.99,72.93,15.93,14.57
Austria,Production,Coke oven gas,68.77,7.53,26.87,80.05,93.65,89.89,77.70,13.49,72.54,91.11,30.89,50.89,63.86,62.71,89.84,11.56,6.13,6.36,3.90,19.98,37.81,5.75,77.79,50.72,42.60,3.63,54.11,24.57,70.79,66.24,8.10,88.01,26.80,78.60,99.16,28.68,65.82,10.45,11.25,6.19,45.73,49.98,74.28,73.74,13.46,83.29,26.56,30.55,47.01,81.51,25.66,12.28,90.37,43.77,26.57,7.13,12.22,10.78,96.79,29.87,51.31,71.17
Austria,Production,Blast furnace gas,89.55,82.72,78.77,29.93,22.95,21.08,87.62,28.68,53.80,19.36,10.31,35.87,24.65,1.75,83.19,78.55,91.13,40.72,61.40,37.67,46.71,24.55,75.27,58.10,74.67,27.17,39.36,76.76,61.35,46.43,31.32,0.31,20.47,51.97,11.13,77.45,82.88,35.99,42.10,19.43,79.76,27.13,16.13,4.38,74.59,74.64,47.86,21.67,41.76,11.89,88.48,80.80,31.38,58.07,30.75,73.44,20.47,73.42,43.42,62.34,15.17,83.61
Austria,Production,Other recovered gases,94.65,89.41,74.73,36.35,5.03,93.45,35.91,70.92,94.05,73.50,90.53,65.83,64.53,65.05,8.77,37.41,68.56,9.10,33.24,18.50,93.57,55.99,94.66,94.74,54.14,37.09,15.34,66.31,55.49,86.35,19.25,10.80,78.44,64.40,47.96,29.45,17.25,23.28,66.18,84.20,21.31,5.86,47.11,70.91,50.95,81.11,71.07,68.78,2.90,14.53,40.77,79.25,48.67,33.52,8.12,85.27,47.70,81.30,10.90,23.98,85.98,26.94
Austria,Production,Peat,50.05,6.93,51.85,75.91,41.68,29.28,22.77,29.37,22.36,5.00,92.57,58.40,10.73,38.56,9.93,40.17,51.35,85.80,55.08,18.19,55.25,40.02,60.82,66.58,47.59,79.69,32.34,64.12,22.76,37.08,55.68,59.20,11.85,87.93,96.93,93.17,43.32,18.24,2.92,21.78,10.82,3.47,36.59,7.15,67.59,30.63,31.89,1.92,75.35,62.57,9.82,58.94,71.31,55.92,5.21,34.55,76.17,83.76,5.39,16.46,92.35,27.49
Austria,Production,Peat products,75.26,65.07,65.08,97.35,95.66,29.25,71.21,48.14,61.85,47.89,57.44,91.93,59.45,89.69,25.24,65.04,49.03,36.21,40.01,61.56,65.23,49.04,56.46,44.85,15.35,23.42,34.39,80.57,1.70,33.78,74.22,95.55,18.61,80.81,53.38,32.47,23.21,73.50,17.21,3.26,84.64,50.81,2.99,76.25,93.22,29.45,85.50,71.49,1.19,52.66,97.87,52.28,89.75,75.08,22.78,9.06,29.39,82.85,60.89,86.07,22.22,36.25
Austria,Production,Oil shale and oil sands,93.41,14.39,31.17,50.52,40.74,20.04,26.72,98.69,24.57,72.43,29.65,83.56,8.10,91.40,20.16,52.82,67.44,93.77,44.90,41.51,2.52,97.01,55.87,84.58,46.05,66.75,92.23,98.55,70.82,40.76,87.12,52.88,19.65,14.49,56.53,45.30,88.25,87.42,48.76,20.24,51.10,5.48,46.14,89.72,47.04,92.34,84.50,66.28,51.10,39.97,66.81,94.08,21.85,47.70,10.48,54.31,40.60,13.10,76.11,66.78,47.26,54.56
Austria,Production,Natural gas,92.76,4.31,96.84,84.93,19.27,8.53,59.80,40.44,15.56,55.29,48.54,76.05,75.68,79.82,92.71,93.71,49.92,10.53,72.10,97.30,40.26,38.37,23.83,68.20,97.22,16.58,94.48,66.73,60.88,92.11,39.85,96.62,38.96,78.66,50.33,20.43,12.61,60.75,62.01,72.94,93.65,56.31,22.86,39.67,6.60,71.92,41.03,32.71,40.09,20.53,65.26,35.84,8.00,47.02,55.49,43.38,94.35,73.73,60.61,48.81,28.57,23.49
Austria,Production,Crude/NGL/feedstocks (if no detail),39.25,91.49,38.16,16.79,23.45,70.74,15.43,24.38,11.80,71.59,86.25,68.11,42.17,46.38,66.14,78.33,94.98,29.33,11.77,80.47,73.55,73.41,70.76,96.16,33.35,87.52,90.02,96.28,68.57,53.38,78.50,64.99,50.03,77.47,89.22,33.65,1.81,66.18,92.58,78.26,60.47,27.44,99.04,44.08,35.28,13.08,58.93,65.56,30.66,21.10,96.08,93.62,5.95,64.77,68.25,70.90,71.05,55.38,65.55,61.43,3.11,27.97
Austria,Production,Crude oil,15.16,71.59,73.85,21.05,69.04,16.70,98.29,30.41,19.54,36.13,72.75,51.00,98.47,26.49,85.31,26.11,68.41,74.86,13.91,22.46,6.66,46.27,33.49,22.04,45.40,77.19,7.64,78.76,30.24,92.59,99.31,52.80,27.18,6.27,20.66,4.79,83.63,94.38,35.85,26.76,91.64,66.88,18.91,34.01,34.58,32.40,10.60,29.46,40.15,66.33,19.89,15.30,40.20,10.39,25.17,53.52,94.55,0.64,85.60,75.42,71.68,7.46
Austria,Production,Natural gas liquids,99.75,30.40,36.92,37.95,27.22,38.09,26.40,41.87,6.77,52.47,97.43,95.54,32.53,78.97,13.58,56.58,82.48,34.33,92.97,97.61,4.21,91.88,27.28,77.56,80.62,66.16,54.53,64.16,44.44,52.43,23.21,42.66,81.60,52.33,20.72,38.22,84.51,11.76,22.29,52.64,68.45,17.40,19.37,66.65,97.57,50.20,70.58,22.62,60.25,98.97,67.56,90.73,66.75,44.56,10.36,90.52,65.83,51.02,2.34,53.06,11.49,89.74
Austria,Production,Refinery feedstocks,66.08,13.30,67.83,6.67,5.96,88.32,78.13,14.87,51.63,7.02,68.75,62.80,33.06,48.73,47.63,33.49,97.14,90.27,94.92,43.87,13.53,63.33,25.02,62.29,98.98,50.99,88.49,81.67,95.55,6.47,64.76,74.43,15.69,57.69,19.87,86.97,0.90,93.39,74.61,61.53,32.79,56.51,37.82,30.65,12.67,44.89,85.01,0.52,65.61,95.90,29.34,59.20,76.34,98.65,15.03,87.12,45.52,46.93,22.03,87.59,49.54,12.60
Austria,Production,Additives/blending components,45.05,88.32,23.11,95.77,9.06,33.00,28.58,74.62,56.03,94.90,75.58,75.44,93.03,22.90,22.92,20.08,96.96,67.92,94.48,5.73,66.46,8.27,61.78,15.22,64.28,49.62,2.47,39.51,92.53,16.47,46.98,69.09,31.14,41.84,30.19,22.45,86.53,67.49,95.70,46.54,30.64,74.40,22.72,2.19,72.38,32.21,51.95,1.12,51.86,64.88,42.74,54.01,10.64,17.04,40.02,16.66,68.84,98.23,69.05,20.49,11.41,17.28
Austria,Production,Other hydrocarbons,4.29,98.36,40.64,33.99,45.04,51.47,21.79,45.02,24.66,82.64,41.48,32.86,36.20,30.90,12.97,93.52,53.22,34.82,50.81,87.97,8.58,54.65,47.79,44.35,15.25,77.86,56.88,86.14,79.97,3.20,95.25,94.25,69.22,99.40,44.69,32.53,33.51,16.47,34.49,65.56,27.51,81.68,89.78,95.43,72.77,8.00,63.00,56.62,60.63,78.66,48.18,6.04,55.30,60.85,29.65,69.27,50.03,39.29,41.31,97.84,6.17,74.45
Austria,Production,Refinery gas,48.94,70.42,39.07,13.51,85.39,16.77,40.90,21.50,79.17,19.12,32.23,11.35,17.21,6.59,91.70,58.81,63.46,18.78,34.04,52.56,89.34,93.35,75.55,74.93,57.08,97.81,50.29,82.82,75.64,49.24,97.20,4.33,16.76,83.56,16.42,25.17,93.47,84.46,60.04,62.57,71.15,62.53,16.69,20.95,19.73,91.49,58.88,89.87,48.47,89.58,96.51,69.50,39.28,41.43,38.05,35.71,77.85,44.91,32.05,9.48,39.94,9.22
Austria,Production,Ethane,26.43,88.71,62.05,64.19,52.54,80.44,35.04,76.95,3.70,48.22,30.94,26.45,94.64,8.67,40.00,36.06,40.81,73.65,92.41,45.08,9.33,6.20,22.93,40.17,40.78,62.38,27.93,36.53,61.97,90.97,93.77,75.66,78.63,51.58,79.95,35.25,94.85,4.53,29.50,57.40,86.65,71.95,45.93,7.31,30.60,11.17,78.21,97.69,53.72,51.32,38.83,67.07,45.32,39.24,71.08,27.58,91.12,65.22,61.90,18.32,75.80,74.38
Austria,Production,Liquefied petroleum gases (LPG),45.80,78.55,7.02,56.87,18.18,33.76,26.30,95.31,25.09,68.11,11.88,42.65,6.27,5.23,31.63,94.46,49.49,45.97,71.70,8.64,36.09,71.84,6.89,84.68,48.84,30.42,78.81,47.56,24.18,31.80,70.52,71.40,57.23,90.91,31.92,90.57,60.37,60.62,56.17,73.23,4.33,49.25,85.81,14.86,54.67,24.96,77.37,17.37,2.97,71.32,60.34,0.95,88.60,79.69,60.60,86.65,41.92,63.73,27.10,2.60,78.68,3.36
Austria,Production,Motor gasoline excl. biofuels,0.59,34.34,65.80,39.92,43.51,94.38,84.21,69.63,91.45,75.05,5.38,28.79,37.92,56.92,33.43,23.72,60.69,96.26,10.89,9.84,93.13,34.84,34.56,68.58,82.48,99.06,37.44,47.13,26.82,38.62,62.33,48.51,70.56,84.34,28.58,86.88,43.08,3.65,95.20,80.19,88.04,49.55,20.34,6.53,67.13,22.36,45.99,86.87,56.09,83.09,39.52,98.76,58.41,95.55,76.69,89.67,33.26,33.39,66.89,59.43,66.02,2.45
Austria,Production,Aviation gasoline,62.91,99.53,70.28,82.70,21.45,97.62,16.47,92.76,21.40,8.04,30.82,12.06,79.21,42.16,22.75,23.53,36.48,73.84,71.81,9.23,13.89,79.15,18.08,59.07,71.98,89.81,38.30,64.78,14.88,97.38,69.16,17.96,73.01,70.33,99.02,20.15,81.00,27.64,47.05,28.60,81.43,75.13,11.30,49.40,60.57,10.61,89.21,83.12,97.07,4.43,17.92,29.33,44.84,94.13,56.10,98.09,84.95,2.02,14.13,0.10,21.36,98.86
Austria,Production,Gasoline type jet fuel,72.07,89.74,51.16,18.84,82.84,62.45,17.20,78.54,77.26,54.36,95.54,4.10,82.97,33.91,58.39,74.19,41.50,71.70,74.37,10.14,99.44,14.04,45.52,3.53,83.36,85.84,53.40,56.64,21.93,16.88,45.57,41.03,2.46,29.26,17.64,3.47,53.70,4.97,47.44,51.65,33.48,77.57,30.51,24.51,8.95,25.35,75.08,13.09,31.02,37.45,13.72,31.94,41.04,29.21,38.07,20.42,3.14,93.24,50.60,63.83,1.90,67.91
Austria,Production,Kerosene type jet fuel excl. biofuels,49.33,30.11,98.90,24.35,65.44,69.59,45.68,46.19,56.32,11.67,9.78,83.34,66.09,39.58,30.06,65.90,91.76,84.10,70.66,75.55,12.53,32.43,41.72,89.35,27.94,6.86,31.18,26.92,15.92,65.94,79.38,42.88,73.19,84.43,91.62,37.67,5.04,2.52,10.74,72.50,61.92,93.05,96.35,4.77,5.21,85.07,87.44,72.69,10.36,38.02,44.73,41.64,78.91,1.07,83.66,52.43,71.92,7.46,57.47,10.52,18.43,20.04
Austria,Production,Other kerosene,22.53,17.64,79.29,36.78,74.84,50.01,65.04,82.25,69.59,11.68,96.25,64.93,21.22,19.31,47.67,62.71,85.85,34.17,14.92,56.86,55.26,42.44,27.37,52.69,0.21,75.36,60.97,62.05,96.58,77.90,30.97,72.27,6.14,84.23,64.57,82.81,80.34,13.53,28.50,64.79,62.50,98.29,51.42,78.82,39.24,80.21,69.81,35.54,88.92,88.12,6.46,73.79,0.38,99.62,50.97,44.88,23.25,4.07,36.89,94.42,55.58,68.37
Austria,Production,Gas/diesel oil excl. biofuels,6.17,51.00,38.44,55.76,5.82,8.39,83.87,30.62,0.49,2.20,71.01,77.08,71.03,57.38,38.09,3.46,63.79,34.54,83.50,79.76,90.76,60.15,93.12,80.71,33.10,48.13,10.70,91.31,36.61,72.55,9.06,38.80,50.13,69.14,27.59,81.77,56.03,76.87,84.80,7.06,59.03,62.11,51.80,78.00,89.52,53.50,47.72,19.07,81.68,76.58,51.99,11.67,22.22,71.11,73.51,86.01,69.44,47.72,88.91,87.79,51.24,36.54
Austria,Production,Fuel oil,71.35,6.04,44.14,81.95,53.27,94.65,76.25,72.62,9.78,5.07,95.58,50.08,25.11,68.61,21.41,60.91,53.89,26.67,49.96,60.67,80.35,70.78,87.32,97.57,63.21,17.03,35.81,91.92,89.14,29.71,77.07,39.88,62.61,92.01,21.47,30.25,41.36,31.74,63.14,89.80,27.46,66.18,79.99,30.10,7.17,83.61,37.92,42.62,2.94,79.14,46.21,32.78,18.95,78.55,37.46,47.17,74.03,75.05,35.47,67.72,89.28,52.74
Austria,Production,Naphtha,55.20,69.72,30.82,33.43,10.64,83.29,9.40,49.79,17.00,28.68,8.93,28.52,32.20,92.44,72.27,67.00,41.33,62.25,39.45,57.28,76.88,14.02,30.60,35.10,13.01,6.48,95.10,89.21,48.66,61.08,74.17,50.18,53.43,81.37,64.23,90.32,78.48,48.31,93.48,58.60,65.30,91.01,80.86,8.73,13.72,3.59,52.48,12.33,0.96,16.13,35.94,66.16,8.09,88.30,90.52,84.02,9.41,31.90,88.02,13.71,41.38,82.80
Austria,Production,White spirit & SBP,76.82,66.89,21.85,26.05,70.89,86.49,57.19,42.82,56.64,76.18,64.51,54.97,31.30,41.60,89.27,37.65,62.49,30.57,16.01,19.11,60.34,49.01,72.69,62.63,26.02,90.99,76.14,13.76,67.90,0.88,73.34,77.59,16.08,16.04,36.22,67.81,47.77,77.36,40.55,85.12,34.99,22.90,0.85,81.60,78.94,27.97,79.52,53.53,86.04,97.73,71.98,83.44,13.10,85.60,93.95,30.70,66.98,26.88,41.49,8.26,28.46,29.06
Austria,Production,Lubricants,69.31,2.54,27.89,38.46,30.86,59.19,69.72,12.45,58.86,9.92,96.69,98.90,85.89,70.11,37.38,64.43,15.41,49.23,35.22,78.72,33.30,13.60,0.38,56.28,7.21,63.20,31.62,49.56,29.61,12.49,72.55,59.73,99.73,46.05,19.37,7.67,35.30,84.72,94.98,33.86,28.37,86.93,25.19,93.15,69.51,89.82,22.64,91.05,60.30,83.92,17.67,28.70,15.24,55.46,84.92,92.97,19.13,80.11,33.31,15.37,56.41,30.52
Austria,Production,Bitumen,33.99,50.79,8.10,6.48,66.68,98.07,84.50,83.55,39.95,38.26,8.56,19.87,61.28,93.28,16.20,89.04,28.98,83.10,7.63,89.19,34.59,37.89,89.20,52.01,43.23,75.82,29.01,41.40,79.10,22.29,4.57,98.22,75.35,48.00,80.94,13.60,98.69,77.62,79.54,7.06,44.82,83.65,3.87,56.52,8.20,71.39,40.83,6.58,62.99,50.56,71.94,73.74,59.94,36.53,24.24,87.81,6.82,72.35,91.14,20.24,58.74,61.16
Austria,Production,Paraffin waxes,4.67,10.82,48.07,79.99,42.52,88.28,75.59,21.95,55.97,78.88,41.82,70.63,13.07,75.50,55.91,32.24,96.03,22.79,52.24,48.22,23.36,15.28,92.06,46.51,53.69,55.46,26.87,62.92,75.37,82.91,9.50,40.27,71.62,49.20,93.25,38.47,94.56,50.31,65.13,57.77,59.39,40.42,2.14,83.18,6.00,65.06,79.31,78.56,97.45,41.10,25.17,2.18,24.36,70.76,16.56,71.86,70.49,7.51,47.54,22.41,63.53,53.91
Austria,Production,Petroleum coke,64.57,51.14,90.31,28.96,31.24,19.92,13.41,54.63,21.98,61.98,83.82,5.84,2.38,11.22,19.10,8.25,90.43,71.18,90.80,17.95,75.95,80.73,33.94,2.22,58.90,22.39,5.88,63.95,80.99,15.11,89.62,53.82,24.39,89.03,1.27,81.01,69.06,17.58,19.70,64.49,51.57,94.97,27.40,54.49,93.26,2.92,67.09,18.20,65.01,11.33,72.21,74.90,37.81,98.32,40.74,72.08,45.11,64.61,6.48,2.17,77.05,37.59
Austria,Production,Other oil products,95.39,79.80,66.56,89.18,22.82,55.91,2.05,67.29,75.44,55.29,87.86,58.07,9.83,16.13,3.30,7.45,76.04,42.33,76.40,57.41,54.01,6.93,62.11,77.61,16.83,13.86,44.07,33.62,44.98,89.74,67.06,45.61,35.95,94.47,24.62,85.99,63.69,68.33,1.39,23.66,99.59,37.08,52.39,33.48,15.08,89.96,21.81,88.63,87.11,33.18,32.56,46.27,56.13,70.00,12.93,63.61,13.20,67.31,97.53,14.56,56.59,49.58
Austria,Production,Industrial waste,60.55,11.65,76.69,56.50,19.03,26.47,79.88,94.22,38.94,93.99,51.89,70.53,35.43,52.40,13.98,31.62,26.70,2.07,53.17,58.34,85.08,6.25,48.53,51.88,72.84,59.08,93.41,80.15,82.79,80.53,90.68,93.71,28.59,84.88,84.68,82.95,39.38,30.60,57.86,53.59,29.11,47.07,88.68,32.28,95.99,40.55,16.26,56.43,8.36,15.85,65.36,95.82,10.58,46.75,95.46,69.65,61.42,5.34,86.63,98.18,68.49,40.71
Austria,Production,Municipal waste (renewable),86.21,52.90,72.80,78.56,83.70,38.35,7.99,26.64,78.28,36.95,50.57,82.02,34.63,2.19,73.52,45.81,9.65,92.43,29.94,89.66,29.86,25.26,79.60,38.89,86.06,81.45,12.23,96.47,85.02,53.52,7.36,37.69,34.48,55.12,78.11,68.00,35.19,10.01,51.05,5.90,5.64,29.90,71.34,19.08,69.94,43.58,30.01,38.09,89.64,21.58,81.42,99.91,43.05,74.36,77.13,53.22,10.73,39.89,50.54,98.23,19.97,9.91
Austria,Production,Municipal waste (non-renewable),21.88,96.03,44.03,91.24,41.88,4.79,37.75,99.02,89.04,4.30,4.22,85.84,11.23,18.71,56.05,86.44,70.07,33.07,18.60,88.43,31.96,4.85,58.93,94.19,14.66,87.47,65.90,0.80,37.26,44.91,85.62,14.73,33.09,18.27,22.44,16.21,6.50,2.10,77.41,13.64,48.73,36.69,20.75,27.62,20.30,8.42,0.36,19.62,78.70,64.38,86.60,24.98,79.06,32.20,10.19,82.53,65.06,2.55,74.35,22.29,25.23,1.44
Austria,Production,Primary solid biofuels,21.34,12.00,64.42,96.09,17.40,14.47,8.81,98.96,97.12,18.47,94.77,41.76,61.53,2.62,47.81,22.28,99.45,5.50,43.97,29.93,25.01,36.82,6.46,52.34,28.64,33.34,85.37,33.05,80.76,29.96,97.36,30.63,28.79,89.78,92.00,43.93,86.22,97.09,30.63,34.32,18.15,99.50,61.22,81.76,5.77,10.50,86.30,6.06,91.57,73.00,46.71,27.47,84.98,5.38,8.70,29.75,51.65,65.71,29.96,29.09,2.66,51.78
Austria,Production,Biogases,16.20,96.36,42.75,30.38,47.04,46.80,19.19,8.36,56.19,30.37,58.09,46.77,2.86,93.60,46.02,78.76,53.09,56.69,39.13,46.55,44.44,29.94,31.55,83.19,11.79,70.37,30.02,73.72,17.91,67.77,63.88,90.42,29.58,67.51,5.85,28.94,17.80,81.19,29.63,90.95,23.35,25.04,98.90,52.94,82.54,83.39,39.40,89.96,21.37,4.64,87.11,60.43,55.62,68.69,27.68,95.24,45.42,22.03,27.67,15.82,78.57,19.04
Austria,Production,Biogasoline,60.03,47.33,14.18,5.20,41.08,48.91,16.54,10.11,42.74,3.70,55.12,4.43,32.85,96.58,16.35,15.23,76.05,26.34,68.65,96.88,61.29,70.31,62.42,59.68,61.17,43.75,81.06,16.70,43.47,83.73,75.91,79.80,55.76,98.50,86.75,91.19,39.93,3.07,7.22,79.20,78.43,22.45,54.46,85.63,96.57,57.74,95.90,69.43,74.81,98.84,4.18,65.74,53.96,56.28,89.22,61.66,32.39,22.30,4.43,17.19,27.06,6.97
Austria,Production,Biodiesels,22.08,96.23,26.69,35.66,35.87,46.82,64.57,55.52,32.31,77.61,60.84,34.39,25.13,92.94,35.73,55.71,99.06,8.33,10.03,98.07,80.12,27.33,41.30,45.69,88.58,48.21,49.34,90.46,23.99,86.53,45.36,47.80,86.74,41.65,94.14,40.42,85.34,21.35,26.90,91.50,96.32,81.64,60.47,47.16,16.72,27.74,97.81,36.65,72.43,40.12,48.67,51.88,31.51,83.14,31.07,95.36,26.77,14.58,42.58,53.04,32.03,45.91
Austria,Production,Bio jet kerosene,58.27,88.24,84.06,66.64,67.17,69.27,70.92,81.84,26.75,32.23,26.10,0.63,16.87,0.55,25.86,44.19,35.28,27.02,46.93,91.33,82.18,71.41,97.43,95.92,25.16,82.47,26.04,98.92,26.58,75.21,37.33,25.64,19.38,34.30,6.86,1.38,32.60,33.38,28.23,0.29,50.65,52.44,80.66,38.06,38.27,31.09,91.84,55.58,9.71,81.29,10.73,62.88,49.81,52.10,22.61,38.65,82.76,8.33,36.65,97.07,50.07,68.07
